"TransectName","Point","Year","DOY","Habitat","DistanceBin","TimeBin","Count"
"Bird Plan Rainbow","BP_B10",2005,143,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2005,143,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_B10",2005,143,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2005,143,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2005,143,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2005,143,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2006,142,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2006,142,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_B10",2006,142,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2006,142,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2006,142,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2006,142,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2007,138,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2007,138,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_B10",2007,138,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2007,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2007,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2007,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2008,140,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2008,140,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2008,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2008,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2008,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2008,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2009,140,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2009,140,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2009,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2009,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2009,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2009,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2010,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2010,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2010,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2010,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2010,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2010,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2011,139,"Hardwood Plantation","L25",3,2
"Bird Plan Rainbow","BP_B10",2011,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2011,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2011,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2011,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2011,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2012,139,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2012,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2012,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2012,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2012,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2012,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2013,135,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2013,135,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2013,135,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2013,135,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2013,135,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2013,135,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2014,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2014,139,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_B10",2014,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2014,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2014,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2014,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2015,134,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2015,134,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2015,134,"Hardwood Plantation","L25",5,1
"Bird Plan Rainbow","BP_B10",2015,134,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2015,134,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2015,134,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2016,132,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2016,132,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2016,132,"Hardwood Plantation","L25",5,1
"Bird Plan Rainbow","BP_B10",2016,132,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2016,132,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2016,132,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2019,137,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2019,137,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2019,137,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2019,137,"Hardwood Plantation","G25",5,1
"Bird Plan Rainbow","BP_B10",2019,137,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2019,137,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2021,138,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_B10",2021,138,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2021,138,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2021,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2021,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2021,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_B10",2022,137,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_B10",2022,137,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_B10",2022,137,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_B10",2022,137,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_B10",2022,137,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_B10",2022,137,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2005,143,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2005,143,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2005,143,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2005,143,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2005,143,"Hardwood Plantation","L25",10,0
